NIS;Calcalmento;CEP
1;parcial;36120000
2;nao_existe;36120000
3;parcial;36120000
4;total;36120000
5;total;36120000
6;total;36120000
7;total;36120000
8;parcial;36120000
9;total;36120000
10;total;36120000
11;total;36120000
12;nao_existe;36120000
13;total;36120000
14;total;36120000
15;nao_existe;36120000
16;total;36120000
17;total;36120000
18;nao_existe;36120000
19;total;36120000
20;total;36120000
21;total;36120000
22;total;36120000
23;parcial;36120000
24;total;36120000
25;parcial;36120000
26;total;36120000
27;total;36120000
28;total;36120000
29;nao_existe;36120000
30;total;36120000
31;total;36120000
32;parcial;36120000
33;total;36120000
34;total;36120000
35;total;36120000
36;nao_existe;36120000
37;total;36120000
38;total;36120000
39;total;36120000
40;total;36120000
41;total;36120000
42;total;36120000
43;nao_existe;36120000
44;total;36120000
45;total;36120000
46;total;36120000
47;total;36120000
48;parcial;36120000
49;total;36120000
50;parcial;36120000
51;total;36120000
52;parcial;36120000
53;total;36120000
54;parcial;36120000
55;total;36120000
56;parcial;36120000
57;total;36120000
58;nao_existe;36120000
59;total;36120000
60;nao_existe;36120000
61;total;36120000
62;nao_existe;36120000
63;total;36120000
64;total;36120000
65;total;36120000
66;total;36120000
67;total;36120000
68;total;36120000
69;total;36120000
70;total;36120000
71;total;36120000
72;total;36120000
